order,grid_x,grid_y,x_km,y_km,segment_dist_km,cum_dist_km,eta_hour_from_start
116,29,41,-5.100946518575534,-2.175660440560236,0.4643064156352238,44.336747069360264,3.989988037199447
117,29,42,-5.100946518575534,-1.7985304459254152,0.3771299946348208,44.713877063995085,4.023927021597829
118,29,43,-5.100946518575534,-1.421400451290591,0.37712999463482433,45.09100705862991,4.057866005996211
119,28,44,-5.371784873958903,-1.0442704566557701,0.46430641563522274,45.555313474265134,4.099650240664608
120,28,45,-5.371784873958903,-0.6671404620209493,0.3771299946348208,45.932443468899955,4.13358922506299
121,28,46,-5.371784873958903,-0.29001046738612857,0.3771299946348208,46.309573463534775,4.167528209461373
122,29,45,-5.100946518575534,-0.6671404620209493,0.46430641563522274,46.773879879169996,4.209312444129769
123,30,44,-4.830108163192163,-1.0442704566557701,0.4643064156352238,47.23818629480522,4.251096678798166
124,31,43,-4.559269807808793,-1.421400451290591,0.46430641563522324,47.70249271044044,4.292880913466562
125,32,42,-4.288431452425424,-1.7985304459254152,0.46430641563522507,48.16679912607567,4.334665148134959
126,33,41,-4.017593097042054,-2.175660440560236,0.46430641563522324,48.63110554171089,4.376449382803355
127,34,41,-3.746754741658684,-2.175660440560236,0.2708383553833702,48.901943897094256,4.40082288490769
128,34,40,-3.746754741658684,-2.5527904351950568,0.3771299946348208,49.27907389172908,4.434761869306072
129,33,39,-4.017593097042054,-2.9299204298298793,0.4643064156352247,49.743380307364305,4.476546103974469
130,32,38,-4.288431452425424,-3.3070504244647,0.46430641563522324,50.207686722999526,4.5183303386428655
131,31,37,-4.559269807808793,-3.6841804190995227,0.4643064156352236,50.67199313863475,4.560114573311262
132,30,36,-4.830108163192163,-4.061310413734343,0.46430641563522324,51.13629955426997,4.601898807979659
133,29,35,-5.100946518575534,-4.438440408369164,0.4643064156352238,51.60060596990519,4.643683042648055
134,28,34,-5.371784873958903,-4.815570403003987,0.4643064156352242,52.06491238554041,4.685467277316452
135,27,33,-5.642623229342274,-5.1927003976388075,0.46430641563522324,52.52921880117563,4.727251511984848
136,26,32,-5.913461584725644,-5.56983039227363,0.4643064156352247,52.99352521681086,4.769035746653245
137,25,31,-6.184299940109014,-5.946960386908451,0.46430641563522324,53.45783163244608,4.810819981321641
138,24,31,-6.455138295492384,-5.946960386908451,0.2708383553833702,53.72866998782945,4.835193483425976
139,23,30,-6.7259766508757535,-6.324090381543273,0.4643064156352242,54.19297640346467,4.8769777180943725
140,22,30,-6.996815006259124,-6.324090381543273,0.2708383553833702,54.46381475884804,4.901351220198707
141,21,30,-7.267653361642494,-6.324090381543273,0.2708383553833702,54.734653114231406,4.925724722303042
142,20,30,-7.538491717025864,-6.324090381543273,0.2708383553833702,55.005491469614775,4.950098224407377
