collection_rate,collected_count,total_trash,collision_count,search_distance,actual_distance_m,actual_distance_km,travel_time_min,collection_time_min,total_operation_time_min,total_operation_time_h,elapsed_time
0.8676470588235294,118,136,0,350,39704.877323527886,39.70487732352789,264.69918215685254,59.0,323.6991821568526,5.394986369280876,0.007999658584594727
0.8909090909090909,98,110,0,323,38330.360723121754,38.33036072312176,255.535738154145,49.0,304.53573815414506,5.075595635902418,0.008000850677490234
0.8373493975903614,139,166,0,416,47961.73157302031,47.96173157302031,319.7448771534688,69.5,389.2448771534688,6.48741461922448,0.00999140739440918
0.7483443708609272,113,151,0,315,36909.04037956211,36.90904037956211,246.06026919708074,56.5,302.56026919708074,5.042671153284679,0.006995439529418945
0.7628205128205128,119,156,0,336,38719.090885900965,38.71909088590097,258.1272725726731,59.5,317.6272725726731,5.293787876211219,0.009004831314086914
0.8909090909090909,147,165,0,401,45550.46173579947,45.55046173579947,303.6697449053298,73.5,377.1697449053298,6.28616241508883,0.011588096618652344
0.8778625954198473,115,131,0,332,38650.461735799436,38.65046173579944,257.6697449053296,57.5,315.1697449053296,5.252829081755493,0.007006645202636719
0.8980891719745223,141,157,0,415,47944.57428549495,47.94457428549495,319.63049523663295,70.5,390.13049523663295,6.50217492061055,0.008991479873657227
0.8269230769230769,86,104,0,290,34284.77631085016,34.28477631085016,228.56517540566773,43.0,271.56517540566773,4.526086256761129,0.007972240447998047
0.859504132231405,104,121,0,299,34687.72003600246,34.68772003600246,231.25146690668305,52.0,283.25146690668305,4.720857781778051,0.006986141204833984
0.8446601941747572,87,103,0,255,30246.298679765143,30.246298679765143,201.64199119843428,43.5,245.14199119843428,4.085699853307238,0.007004976272583008
0.5338983050847458,63,118,0,224,25779.393923933963,25.779393923933963,171.86262615955974,31.5,203.36262615955974,3.389377102659329,0.00599980354309082
0.8842975206611571,107,121,0,375,42411.98410471444,42.411984104714435,282.74656069809623,53.5,336.24656069809623,5.604109344968271,0.012910842895507812
0.8846153846153846,115,130,0,405,47441.630560342644,47.441630560342645,316.27753706895095,57.5,373.77753706895095,6.22962561781585,0.010395526885986328
0.8924050632911392,141,158,0,377,43688.939366884486,43.68893936688448,291.2595957792299,70.5,361.7595957792299,6.029326596320499,0.008972406387329102
0.8939393939393939,118,132,0,410,48190.15869776652,48.19015869776652,321.2677246517768,59.0,380.2677246517768,6.337795410862946,0.009036779403686523
0.7608695652173914,105,138,0,294,34560.51224213822,34.560512242138216,230.40341494758815,52.5,282.90341494758815,4.715056915793135,0.007098197937011719
0.8455882352941176,115,136,0,342,40188.939366884464,40.18893936688446,267.92626244589644,57.5,325.4262624458964,5.42377104076494,0.010101795196533203
0.46017699115044247,52,113,0,138,16061.017305526651,16.06101730552665,107.07344870351102,26.0,133.07344870351102,2.2178908117251837,0.0030879974365234375
0.79375,127,160,0,349,39604.87732352787,39.60487732352787,264.0325154901858,63.5,327.5325154901858,5.458875258169764,0.009623050689697266
0.8532110091743119,93,109,0,349,41054.62479183373,41.05462479183373,273.6974986122249,46.5,320.1974986122249,5.336624976870414,0.00740814208984375
0.8662790697674418,149,172,0,386,44423.25394193527,44.42325394193527,296.15502627956846,74.5,370.65502627956846,6.177583771326141,0.011997222900390625
0.8759124087591241,120,137,0,373,44407.315985291876,44.40731598529187,296.0487732352792,60.0,356.0487732352792,5.934146220587986,0.01108694076538086
0.8432835820895522,113,134,0,313,36501.93359837555,36.50193359837555,243.34622398917037,56.5,299.84622398917037,4.997437066486173,0.009739398956298828
0.9108910891089109,92,101,0,321,37881.832585697884,37.881832585697886,252.54555057131924,46.0,298.5455505713192,4.975759176188654,0.009131431579589844
0.845679012345679,137,162,0,388,44706.096654409914,44.70609665440991,298.04064436273273,68.5,366.54064436273273,6.1090107393788795,0.013345479965209961
0.8013698630136986,117,146,0,249,28942.135623730897,28.9421356237309,192.94757082487266,58.5,251.44757082487266,4.190792847081211,0.006129741668701172
